;name;company;link;city;currency;min_value;max_value;place
82;Разработчик Python (Senior);ООО Страховая компания «Сбербанк страхование»;https://hh.ru/vacancy/44811190?from=vacancy_search_list&query=python;Москва;;;;
83;Python Lead;SUNLIGHT/САНЛАЙТ;https://hh.ru/vacancy/48216332?from=vacancy_search_list&query=python;Москва;руб.;350000.0;;Мякинино и еще 3 
84;Python Backend разработчик;ИП Рождественская Анна Юльевна;https://hh.ru/vacancy/48253906?from=vacancy_search_list&query=python;Москва;руб.;160000.0;;
85;Python-Разработчик (удаленно);BestDoctor;https://hh.ru/vacancy/47484756?from=vacancy_search_list&query=python;Москва;руб.;180000.0;;
86;Python разработчик в SberDevices (b2e);Сбер. IT;https://hh.ru/vacancy/44536394?from=vacancy_search_list&query=python;Москва;;;;Кутузовская и еще 1 
87;Python senior developer / Старший Python-Разработчик;BestDoctor;https://hh.ru/vacancy/47484744?from=vacancy_search_list&query=python;Москва;руб.;250000.0;;
88;Разработчик Python (Big Data);ADV/web-engineering;https://hh.ru/vacancy/48234111?from=vacancy_search_list&query=python;Москва;;;;Дмитровская
89;Senior Python Developer;ООО Интеллектуальные Продукты;https://hh.ru/vacancy/47642650?from=vacancy_search_list&query=python;Москва;руб.;150000.0;250000.0;
90;Senior Python developer - Kannon;Deutsche Bank Technology Center;https://hh.ru/vacancy/47563798?from=vacancy_search_list&query=python;Москва;;;;Новокузнецкая и еще 2 
91;Python-разработчик в Лавку;Яндекс;https://hh.ru/vacancy/48206113?from=vacancy_search_list&query=python;Москва;;;;
92;Разработчик Python (backend);Whalemap;https://hh.ru/vacancy/48213042?from=vacancy_search_list&query=python;Москва;руб.;150000.0;300000.0;
93;Python/Go backend developer (middle);ООО Соушиал Линкс;https://hh.ru/vacancy/47731920?from=vacancy_search_list&query=python;Москва;;;;Калужская
94;Data Engineer (Python);Detego;https://hh.ru/vacancy/48219778?from=vacancy_search_list&query=python;Москва;;;;Новокузнецкая
95;Senior Python Developer (Remote);SUNLIGHT/САНЛАЙТ;https://hh.ru/vacancy/42615019?from=vacancy_search_list&query=python;Москва;руб.;250000.0;350000.0;Строгино
96;Python разработчик;МойСклад;https://hh.ru/vacancy/47757295?from=vacancy_search_list&query=python;Москва;;;;Автозаводская
97;Python developer;Кадровое агентство Smart Business;https://hh.ru/vacancy/48195683?from=vacancy_search_list&query=python;Москва;руб.;120000.0;280000.0;
